"kanton","Tpwert","n_practices","Mean_annual_revenue","Median_annual_revenue","SD_annual_revenue"
"AI",0.97,5,1101720,1337576,676980
"TG",1,6,938868,876960,343960
"ZG",1.11,9,837761,711608,300185
"BS",1.08,9,767612,693681,527118
"NE",0.96,7,765214,661893,481199
"VS",0.96,6,728179,606735,435921
"SG",0.98,4,666298,394025,637037
"AR",0.99,5,664226,585579,294170
"GR",0.94,14,658378,492474,533266
"ZH",1.11,8,658272,510209,484915
"NW",1.01,9,652109,549763,422901
"AG",1.05,7,634224,635040,347723
"SZ",0.99,7,623600,479002,490718
"TI",0.95,8,621841,621243,274754
"BL",1.03,3,594912,445405,367725
"LU",0.99,6,578345,660199,233415
"GL",1.01,5,541466,293207,644426
"BE",1.03,5,503401,373766,336670
"SH",1.05,3,489510,508032,282255
"OW",0.95,5,484546,505613,343743
"SO",1.03,2,464612,464612,400110
"VD",1,7,445550,439488,251324
"JU",0.95,8,362894,265590,300580
"GE",1.07,4,297386,264786,238630
"FR",0.98,5,241724,217325,148608
"UR",0.98,3,NA,NA,NA
